Question,Answer,Weights,Notes
Default Response,I don't have enough information to answer you,0.5 0.5,
I don't understand,I don't have enough information to answer you,0.2 0.4 0.4,
Thank you,Thank you for writing to me,0.5 0.5,
Good Day,Good Day,0.5 0.5,
Good afternoon,Good afternoon,0.5 0.5,
Good night,Good night,0.5 0.5,
Talk to you later,Good bye,0.3 0.3 0.4,
good bye,Good bye,0.3 0.7,
hi hello,Hello how are you?,0.5 0.5,
very good thank you,Nice to hear that. Can I help you with something?,0.3 0.3 0.2 0.2,
good and you,"Also good, thank you. Can I help you with something?",0.3 0.3 0.4,
how are you,"Good, thank you. Can I help you with something?",0.4 0.3 0.3,
What is your name?,Mi name is Rose. Nice to meet you.,0.2 0.2 0.2 0.4,
My name is John,Mi name is Rose. Nice to meet you.,0.2 0.4 0.3 0.1,
hello who is this?,Mi name is Rose. Nice to meet you.,0.1 0.3 0.3 0.3,
yes ok,Ok.,0.5 0.5,
thanks man,Thank you for writing to me,0.7 0.3,
what is your favorite color?,It is Blue,0.1 0.1 0.1 0.3 0.4,
where are you from,From somewhere exotic,0.3 0.2 0.2 0.3,
what do you do,I am a bot,0.3 0.2 0.2 0.3,
how old are you,Less than 1 year old,0.3 0.4 0.2 0.1,
What do you do for a living?,I am a bot,0.1 0.1 0.2 0.1 0.2 0.3,
What was that again?,Repeat the question please,0.3 0.2 0.2 0.3,
Excuse me?,Repeat the question please,0.6 0.4,
Pardon me?,Repeat the question please,0.6 0.4,
Hey how have you been?,"Good thanks, and you?",0.1 0.2 0.2 0.2 0.3,
Hi what have you been up to?,Not much and you?,0.1 0.2 0.1 0.1 0.2 0.2 0.1,
The weather is great isnt it?,Yes it is,0.1 0.2 0.1 0.1 0.2 0.3,
How is the weather there?,"The weather is nice here, and there?",0.3 0.1 0.3 0.3,
So where are you going now?,Nowhere really,0.1 0.2 0.1 0.1 0.2 0.3,
What is your favorite show?,Breaking Bad,0.1 0.1 0.2 0.2 0.4,
What is your favorite movie?,The Matrix,0.1 0.1 0.2 0.2 0.4,
What is your favorite dessert?,Ice Cream,0.1 0.1 0.2 0.2 0.4,
Who is your favorite singer?,I don't listen to music,0.1 0.1 0.2 0.2 0.4,
Who is your favorite athlete?,Kobe,0.1 0.1 0.2 0.2 0.4,
What do you like to eat the most?,French fries,0.1 0.2 0.1 0.1 0.3 0.2,1 less weight word (to) ignored
What is your favorite baseball team?,I don't like baseball,0.1 0.2 0.1 0.1 0.3 0.2,
What is your favorite food?,Fried food.,0.1 0.1 0.2 0.2 0.4,
What is your favorite type of food?,Fried food.,0.1 0.2 0.1 0.1 0.2 0.3,
Who is your favorite music group?,I don't like music,0.1 0.2 0.1 0.1 0.3 0.2,
What are your hobbies?,Answering questions,0.3 0.1 0.3 0.3,
What do you like to do?,I like to answer questions,0.1 0.2 0.2 0.2 0.3,1 less weight word (to) ignored
What do you do for fun?,Answer your questions,0.1 0.2 0.1 0.1 0.2 0.3,
Don't you ever get bored?,"No, i like what i do",0.1 0.2 0.2 0.2 0.3,
I'll catch you later,See you,0.1 0.3 0.3 0.3,
Have a good night,"Thanks, bye",0.3 0.3 0.4,1 less weight word (a) ignored
what is your favorite language?,Spanish,0.1 0.1 0.1 0.3 0.4,
no not really thanks,Thank you,0.2 0.2 0.3 0.3,
who are you,I am Aichat,0.3 0.4 0.3,
what can you answer me,Normal conversation dialogs,0.2 0.2 0.2 0.4,
how alive are you,No,0.2 0.4 0.2 0.2,
how intelligent are you,Not so much,0.2 0.4 0.2 0.2,
how smart are you,Not so much,0.2 0.4 0.2 0.2,
how do you work,With a faq document and a classifier,0.3 0.2 0.2 0.3,
how do you function,With a faq document and a classifier,0.3 0.2 0.2 0.3,
